Time,sys_ect\CCP:1,sys_iat\CCP:1,sys_bst_t\CCP:1,Current_gear_shift_position_(Current_gear),sys_pps_pct\CCP:1,fmsp_af_sp\CCP:1,Vehicle_Speed,knck_ron_fac\CCP:1,sys_map\CCP:1,afm_stk_flw_pct\CCP:1,sys_eng_spd\CCP:1,tq_clch_torq\CCP:1,hw_bat_vlt\CCP:1,afm_stk_flw\CCP:1,tq_imep_ref\CCP:1,sys_tps_pct\CCP:1,sys_fc_avg_rate\CCP:1,sys_bst_p\CCP:1,sys_trip_fc\CCP:1,Predicted_sum,,,
308000,29.91800332,22.3828125,22.74198009,0,0,13.44384766,0,1,46.480849,32.9280887,677.2776549,-6.03539823,13.96975249,0.160808732,421.2461283,4.459104285,0.365346723,87.94873479,34633.73687,13374.867,,,
309000,30.05617898,22.3828125,22.74730114,0,0,13.4515048,0,1,46.05621449,32.5332919,667.9215909,-5.381818182,13.96520774,0.158908913,416.1227273,4.345508922,0.340687145,87.96942472,34990.60583,13585.89,,,
310000,30.1743384,22.3828125,22.77639358,0,0,13.45605469,0,1,46.00784769,32.4930277,656.911036,-4.939189189,13.95750634,0.158809078,415.1233108,4.282715944,0.334996129,87.98507883,35316.10347,13796.724,,,
311000,30.30989583,22.3828125,22.76541385,0,0,13.45605469,0,1,46.0731982,32.55010382,649.5112613,-4.737612613,13.9593011,0.158987509,415.7308559,4.220196148,0.331811304,87.98627534,35652.38978,14007.261,,,
312000,30.44386062,22.3828125,22.80586283,0,0,13.45767509,0,1,45.99688883,32.52233995,646.6316372,-4.650995575,13.95882018,0.158857227,415.3683628,4.221013162,0.327200291,87.97908601,35991.44373,14217.269,,,
313000,30.57967342,22.3828125,22.78821791,0,0,13.46826172,0,1,46.00848114,32.48357,646.2083333,-4.634572072,13.95843451,0.158708452,414.990991,4.212415541,0.324473888,87.97582348,36316.10966,14426.328,,,
314000,30.71321903,22.3828125,22.79590708,0,0,13.46826172,0,1,46.05676162,32.53692357,645.9314159,-4.640486726,13.95824115,0.158904759,415.6841814,4.22160731,0.331728775,87.98938744,36648.54716,14633.767,,,
315000,30.84522804,22.3828125,22.80532095,0,0,13.46826172,0,1,46.03293919,32.52986874,644.3513514,-4.607545045,13.95649458,0.158887159,415.4448198,4.216594524,0.325256898,87.96864443,36980.05011,14838.709,,,
316000,30.98144531,22.3828125,22.83510045,0,0,13.47741699,0,1,46.12590681,32.60955811,644.4040179,-4.595982143,13.95703561,0.159259796,416.2834821,4.208101545,0.329825265,87.97363281,37304.86217,15041.582,,,
317000,31.1499721,22.3828125,22.8233817,0,0,13.48046875,0,1,46.39815848,32.7406747,646.6428571,-3.669084821,13.97384644,0.15993091,418.1540179,4.222433908,0.328944615,87.95954241,37633.20006,15259.986,,,
